"GeneNames","value1","value2","log2(Fold_change)","log2(Fold_change) normalized","z-score","p-value","q-value(Benjamini et al. 1995)","q-value(Storey et al. 2003)","Signature(q-value(Storey et al. 2003) < 0.5)"
"Npr3",341,642,-0.912801558098129,-0.953894213072777,-10.1138302779211,4.79712890560458e-24,6.66992803035261e-20,6.5466737662827e-20,TRUE
"Acta2",241,449,-0.897682298511184,-0.938774953485832,-8.345786765925,7.07413447932774e-17,4.91793829002864e-13,4.82705921878225e-13,TRUE
"Malat1",2498,1897,0.397053798196481,0.355961143221833,8.14140563123416,3.90715009298377e-16,1.81083382976154e-12,1.77737125115133e-12,TRUE
"Trp53inp1",1882,1400,0.426839800896207,0.38574714592156,7.61831516793516,2.57008162207312e-14,8.93360371832618e-11,8.76851876586736e-11,TRUE
"Evpl",365,194,0.911839811580252,0.870747156605604,6.96232404207505,3.3470452111925e-12,7.75621943607009e-09,7.61289148497269e-09,TRUE
"Zfp365",930,658,0.499143132260153,0.458050477285506,6.27972717923577,3.39167663403207e-10,5.89473398994774e-07,5.7858046137217e-07,TRUE
"Synpo",436,616,-0.498602215917975,-0.539694870892623,-6.02225760275552,1.72000850692827e-09,2.65722203114785e-06,2.60811896070555e-06,TRUE
"Slc19a2",1131,841,0.427421223734676,0.386328568760028,5.913928628115,3.34042676490936e-09,4.64452937392998e-06,4.55870265326226e-06,TRUE
"Sema5a",713,925,-0.375551288959786,-0.416643943934433,-5.82001081900721,5.8843818380354e-09,6.81803708967035e-06,6.69204590354892e-06,TRUE
"Mab21l3",94,32,1.55458885167764,1.51349619670299,5.49394768455231,3.93046968512015e-08,3.90351789299361e-05,3.83138439725044e-05,TRUE
"Slc24a3",147,247,-0.748694886748313,-0.789787541722961,-5.34380566691601,9.10151448058935e-08,8.43649715587428e-05,8.00787755106783e-05,TRUE
"Kap",58,14,2.05062607306997,2.00953341809532,5.25796111752276,1.4566130654821e-07,0.000119133812132136,0.000116932326557874,TRUE
"Ptchd4",407,553,-0.44225068596846,-0.483343340943108,-5.16034655102573,2.46493129427256e-07,0.000180381077450346,0.000177047797563051,TRUE
"Cd80",159,79,1.00910220710725,0.968009552132605,5.02308725649905,5.08474291757703e-07,0.000321355752390868,0.000315417387451198,TRUE
"Col4a2",41,97,-1.24236083756904,-1.28345349254369,-4.99577589205823,5.85996810312805e-07,0.000354247810895184,0.00034770163033198,TRUE
"Igfbp2",62,127,-1.03448837638529,-1.07558103135994,-4.96622604732902,6.82683763223461e-07,0.000395501460160792,0.000388192949305973,TRUE
"Itgb6",182,280,-0.621488376746271,-0.662581031720918,-4.8795970177168,1.06302821666568e-06,0.000568474781712292,0.000555948773918531,TRUE
"Ddias",1070,831,0.364690414518165,0.323597759543518,4.87085921345337,1.11113994470824e-06,0.000572195918193458,0.000555948773918531,TRUE
"Ak1",698,512,0.447083226209653,0.405990571235005,4.86567767249633,1.1406528689393e-06,0.000566415624633288,0.000555948773918531,TRUE
"Plcxd2",949,730,0.378511623253731,0.337418968279083,4.7716449663246,1.82727391829037e-06,0.000876083329652046,0.000859894098588563,TRUE
"Bok",248,356,-0.521537120579524,-0.562629775554171,-4.753761123114,1.99666932866011e-06,0.000925389678189671,0.000908289310203072,TRUE
"Unc5b",913,700,0.383259938151893,0.342167283177245,4.7422156688755,2.11393402458277e-06,0.000948133505735445,0.00093061285229546,TRUE
"1700003M07Rik",226,132,0.775784843056734,0.734692188082087,4.73273748403123,2.21511898572769e-06,0.000962469199298679,0.000944683635150209,TRUE
"Notch3",438,300,0.545968369105292,0.504875714130645,4.71166090260642,2.45705984798126e-06,0.00103524121594944,0.000992174382437681,TRUE
"5330417C22Rik",33,5,2.72246602447109,2.68137336949644,4.71043540890749,2.47188132014132e-06,0.00101085405515426,0.000992174382437681,TRUE
"Angptl2",824,626,0.3964816802506,0.355389025275953,4.66850868881394,3.03393949083456e-06,0.00120525413373039,0.00117004881149175,TRUE
"Stc2",253,359,-0.504846459128741,-0.545939114103388,-4.64555142569074,3.39169268272461e-06,0.00127454310974603,0.00124823580759461,TRUE
"Tagln",619,769,-0.313044188747563,-0.354136843722211,-4.55956583840939,5.12594848505971e-06,0.00178177969340675,0.00171467709092077,TRUE
"Synm",268,168,0.673771767679011,0.632679112704364,4.51732993938188,6.26242868163492e-06,0.00197892746339663,0.00194235866579661,TRUE
"Mpp7",770,588,0.3890422907459,0.347949635771253,4.42416324820024,9.6816792191904e-06,0.00258873207430045,0.00254089463658896,TRUE
"Acsm2",28,4,2.8073549220576,2.76626226708296,4.41093423119038,1.02925579424637e-05,0.00270014576664179,0.0026502495042182,TRUE
"Rnf169",809,623,0.376907539405975,0.335814884431328,4.38588933080467,1.15512844171812e-05,0.00297424182474977,0.00291928051398191,TRUE
"Slc4a11",891,695,0.358412453911052,0.317319798936405,4.36328045811945,1.28126514776337e-05,0.0032390382935458,0.00317918378247034,TRUE
"Kcnj4",173,98,0.819918383521516,0.778825728546869,4.35605918269871,1.32424985271051e-05,0.0032879232057298,0.00319898670160295,TRUE
"Nlrc5",515,373,0.465396801815343,0.424304146840696,4.35410317173334,1.33612773600328e-05,0.00325921404234905,0.00319898670160295,TRUE
"Fst",738,890,-0.270184519793364,-0.311277174768012,-4.3436991024324,1.40103381976748e-05,0.00330169054746561,0.00324067827915288,TRUE
"Epn3",712,859,-0.270780890172064,-0.311873545146712,-4.27510757500595,1.91045026973462e-05,0.00435457386071969,0.00427410525684591,TRUE
"Fhod3",472,595,-0.334102808833466,-0.375195463808113,-4.23366824315992,2.29910036617731e-05,0.00499479554552022,0.00490249622139839,TRUE
"Epha4",678,820,-0.274338636369102,-0.315431291343749,-4.22196914699447,2.42177265378703e-05,0.00518035799665459,0.00508462964552535,TRUE
"Ptgs2",788,612,0.364663976763724,0.323571321789077,4.17962835575628,2.91985879501613e-05,0.00615116919483398,0.0060375011269285,TRUE
"Fam212b",570,425,0.42349907802704,0.382406423052393,4.15848147640557,3.20370206304791e-05,0.00664839902755494,0.0064399701727071,TRUE
"Nadk2",888,700,0.343204754517776,0.302112099543129,4.15811250547094,3.20887986103225e-05,0.00656121552761653,0.0064399701727071,TRUE
"Upk3b",38,81,-1.09192248944104,-1.13301514441569,-4.13653411883892,3.5259094961913e-05,0.00690482332887941,0.00669568111332113,TRUE
"Zfp354c",216,302,-0.48351723716161,-0.524609892136258,-4.10950889966165,3.96501434696459e-05,0.00735060793069275,0.00710104742983752,TRUE
"Btg2",873,689,0.341477670925149,0.300385015950502,4.10049895175119,4.12260303563331e-05,0.00734880418044173,0.00721300489641162,TRUE
"Gpx3",216,137,0.656855419202942,0.615762764228294,3.9586161118977,7.53852905765686e-05,0.0121878730253094,0.0119626521063616,TRUE
"Tubb3",426,534,-0.325986311461717,-0.367078966436365,-3.92952915451624,8.51123572342981e-05,0.0132966541009627,0.0130007619748983,TRUE
"Hic1",138,78,0.82312223791592,0.782029582941273,3.9043742611765,9.4469492046732e-05,0.0142772154067148,0.0140133853219051,TRUE
"Celf5",226,146,0.63035440353517,0.589261748560523,3.89278284201379,9.91008547766881e-05,0.0146584923916497,0.014387616651479,TRUE
"Fam159b",16,1,4,3.95890734502535,3.88094875057013,0.000104049767291947,0.0150698746294503,0.0147913969159538,TRUE
"Fam198b",76,128,-0.752072486556415,-0.793165141531062,-3.86103937424061,0.000112905704965217,0.0156984092183638,0.0154083167516276,TRUE
"9230114K14Rik",365,260,0.489384840738925,0.448292185764277,3.85671185033114,0.000114922500339013,0.0158206182644914,0.0155282674846259,TRUE
"Map3k7cl",494,605,-0.292424100577279,-0.333516755551926,-3.82237349506707,0.000132173290264443,0.0173371455456303,0.0168585054798135,TRUE
"Zfp750",210,135,0.637429920615292,0.596337265640644,3.79285742673979,0.00014892366927251,0.0188239517960452,0.0184761021168656,TRUE
"Tex15",282,193,0.547094315130713,0.506001660156066,3.78827345541587,0.000151697829755898,0.0190018614858199,0.0186276865076712,TRUE
"Tchh",622,482,0.367881433900642,0.326788778925995,3.74818823718375,0.000178116559250032,0.021349419308728,0.0208122682177846,TRUE
"Inpp5d",84,41,1.03476541816068,0.993672763186029,3.73115238310074,0.000190605882189755,0.022270455344255,0.0218589173829057,TRUE
"Lrrc15",52,20,1.37851162325373,1.33741896827908,3.72270847869181,0.000197097045821013,0.022836977709128,0.0222766196457276,TRUE
"Bach2",270,354,-0.390789953032165,-0.431882608006813,-3.72217653788843,0.000197512846985275,0.0226960216899444,0.0222766196457276,TRUE
"Prss35",279,192,0.539158811108031,0.498066156133383,3.71407888031757,0.000203945177812119,0.0232430635434402,0.0226675212355689,TRUE
"Tns1",348,441,-0.341691349708793,-0.38278400468344,-3.71363835576408,0.000204300689205009,0.0230942827862312,0.0226675212355689,TRUE
"Cldn1",530,640,-0.272079545436799,-0.313172200411447,-3.70461309482911,0.000211713634366255,0.0237392449373259,0.023300565066867,TRUE
"Mras",452,553,-0.29095670781952,-0.332049362794167,-3.63925397858336,0.000273429023679948,0.0285846401898196,0.0280564217781266,TRUE
"Hes2",32,9,1.83007499855769,1.78898234358304,3.61232689779142,0.000303461675724373,0.0310244936711153,0.0304511889640519,TRUE
"Klhdc8a",487,590,-0.276793182166863,-0.31788583714151,-3.60753923666982,0.000309114803897932,0.0313717681269843,0.0307920461006795,TRUE
