"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Storey et al. 2003) < 0.5)"
Cp	1160	2145	-0.886852842371974	-0.887885621286523	-17.2851869205835	6.08238649474768e-67	8.47215614853405e-63	6.03999687660301e-63	TRUE
Scd2	2732	4059	-0.571166856407604	-0.572199635322153	-16.1866669799024	6.26304427444138e-59	4.3618971849347e-55	3.10969780433376e-55	TRUE
C3	26	290	-3.47946937187384	-3.48050215078839	-15.8963406481494	6.71758059633902e-57	3.11897267088021e-53	2.22358805244474e-53	TRUE
Lrp1	4388	3180	0.464536760231475	0.463503981316926	13.8873981637604	7.55294444361807e-44	2.6301240788789e-40	1.875076538132e-40	TRUE
Il1rl1	299	735	-1.29759876552562	-1.29863154444017	-13.7815014431903	3.293503455024e-43	9.17504192500585e-40	6.54110047054857e-40	TRUE
Acsl4	2762	3819	-0.467481600364463	-0.468514379279012	-13.0887850882018	3.81663688069179e-39	8.86032251852599e-36	6.31672969658997e-36	TRUE
Tubb3	127	426	-1.74602493345367	-1.74705771236822	-13.0594912168708	5.61014673328698e-39	1.11633905497078e-35	7.95864038273203e-36	TRUE
Lss	2365	3341	-0.498439799108212	-0.499472578022761	-12.9811111235046	1.56592240528652e-38	2.72646664790449e-35	1.94376139306106e-35	TRUE
Anxa8	1120	605	0.888491684783011	0.887458905868462	12.4801693198674	9.5782750049462e-36	1.48239769493217e-32	1.05683574408896e-32	TRUE
Osmr	495	967	-0.966087364509869	-0.967120143424418	-12.4685022599665	1.10890703451694e-35	1.54459660837864e-32	1.10117879399955e-32	TRUE
Elovl6	1733	2450	-0.499510094729763	-0.500542873644311	-11.1375324116509	8.23700062524492e-29	1.0430289246276e-25	7.43599543788792e-26	TRUE
Serpinb9b	618	290	1.09155393788944	1.09052115897489	10.9976692425007	3.92136516261138e-28	4.55172461250116e-25	3.24503018601954e-25	TRUE
Pak3	1541	2183	-0.502445268476006	-0.503478047390554	-10.5692971404497	4.13582575002567e-26	4.43137822093135e-23	3.15923244853121e-23	TRUE
Aldh1l2	2944	2188	0.428164933264455	0.427132154349906	10.5481368979183	5.18143288254509e-26	5.15515561578361e-23	3.6752301624095e-23	TRUE
Ubr4	5058	4067	0.314602046201106	0.313569267286557	10.3528188032234	4.0634271939971e-25	3.77329849234571e-22	2.69007212670442e-22	TRUE
Lox	1513	1003	0.593090381604556	0.592057602690007	10.1856075734017	2.29919120955715e-24	2.0015896473701e-21	1.42697974475461e-21	TRUE
Sort1	1110	1636	-0.55961307170428	-0.560645850618829	-10.0880164135657	6.24180405168583e-24	5.114240507996e-21	3.64606083185062e-21	TRUE
Kmt2d	3216	2495	0.366227590954304	0.365194812039756	9.52785292861294	1.60569695398658e-21	1.24254182622661e-18	8.85836924848928e-19	TRUE
Lipg	613	985	-0.684236650652958	-0.685269429567506	-9.3629645621799	7.75301840634013e-21	5.68377859904798e-18	4.05209776397866e-18	TRUE
Kitl	216	454	-1.07166098512745	-1.07269376404199	-9.30401995745596	1.35233706489559e-20	9.41835148846537e-18	6.71456150898769e-18	TRUE
Lrrc75b	752	435	0.789717260941547	0.788684482026998	9.24492369649666	2.35408612625667e-20	1.56143169774425e-17	1.11318092018831e-17	TRUE
Cebpd	100	275	-1.4594316186373	-1.46046439755185	-9.21803454816537	3.02595672413459e-20	1.91584323683958e-17	1.36584913730306e-17	TRUE
Hdgfrp3	222	457	-1.04163448870796	-1.04266726762251	-9.1207516396816	7.46050869105923e-20	4.51814893729409e-17	3.22109330739914e-17	TRUE
Mum1l1	1014	1465	-0.530843012306269	-0.531875791220818	-9.10158100150701	8.90262940887303e-20	5.16686354317469e-17	3.68357701575283e-17	TRUE
Itpr2	1635	1171	0.481549559884229	0.48051678096968	8.76130153615957	1.93008741439311e-18	1.07536750380326e-15	7.66654467917941e-16	TRUE
